Mario;1.0;1.0;0.05;0.05;0.05;0.0;0.05;1.0;0.25;0.3;1.05;0.0;0.0;0.65000004;0.0;0.65000004;1.0;1.0;-1.0;-1.0;-1.0;-1.0;0.2;-1.0;-1.0;0.05;0.0;-1.0;1.0;0.05;0.05;-1.0;-1.0;-1.0;
Call of Duty;0.05;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.05;0.90000004;0.0;1.0;0.0;0.1;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.2;-1.0;-1.0;0.0;0.15;-1.0;0.1;-1.0;-1.0;-1.0;-1.0;-1.0;
Counter Strike;0.0;0.15;-1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.7;0.0;1.0;0.0;0.15;0.0;0.0;0.0;0.0;-1.0;-1.0;0.0;-1.0;-1.0;0.0;0.1;-1.0;0.1;-1.0;-1.0;-1.0;-1.0;-1.0;
Terraria;1.0;0.35;0.05;1.05;1.0;0.0;0.0;0.0;0.35;0.05;0.05;0.0;0.0;0.7;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;
Minecraft;0.05;0.5;0.15;1.0;-1.0;0.2;0.05;0.2;0.0;0.65000004;0.0;0.5;0.0;1.0;0.0;0.2;1.0;0.1;0.35;0.0;0.05;-1.0;0.15;-1.0;-1.0;0.1;0.1;-1.0;0.75;-1.0;-1.0;-1.0;-1.0;-1.0;
Pac-Man;-1.0;1.0;-1.0;-1.0;-1.0;0.05;1.0;0.0;0.3;0.65;1.0;0.05;0.05;0.0;0.0;0.25;1.0;0.0;0.35;0.0;-1.0;-1.0;0.05;-1.0;-1.0;0.1;0.2;-1.0;1.0;0.65;0.0;-1.0;-1.0;-1.0;
The Legend of Zelda;0.4;1.0;0.05;0.05;0.05;1.0;0.05;1.0;1.0;0.40000004;1.0999999;0.1;0.05;0.50000006;0.75;1.0;1.0;1.0999999;0.4;0.0;-1.0;-1.0;0.2;-1.0;-1.0;0.0;1.0;-1.0;1.0;0.0;0.0;-1.0;-1.0;-1.0;
Bioshock;0.0;1.0;1.0;0.0;0.0;0.4;0.0;1.0;1.0;0.1;1.0;0.0;0.0;0.1;0.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;0.65;-1.0;0.35;-1.0;-1.0;-1.0;-1.0;-1.0;
Tetris;1.0;0.39999995;0.0;0.0;0.0;0.05;0.65;1.0;0.15;0.55;1.0;0.05;0.0;0.85;1.0;0.15;0.2;0.0;1.0;0.05;0.0;0.0;0.1;-1.0;-1.0;0.05;0.1;-1.0;0.1;-1.0;-1.0;-1.0;-1.0;-1.0;
Halo;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.65;1.0;0.0;0.0;1.0;0.0;1.0;0.65;0.0;0.0;0.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;
Los Sims;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;
FIFA;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.05;0.59999996;1.0;0.59999996;1.0;1.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.05;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;
Mario Kart;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.44999993;1.0;0.05;0.65;1.0;0.0;0.15;0.0;1.0;0.0;0.0;0.0;1.0;0.05;0.0;0.05;0.1;0.15;0.0;1.0;1.0;0.65;-1.0;-1.0;-1.0;
Starcraft;0.0;0.15;0.0;0.0;0.0;0.05;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.8;0.15;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;-1.0;0.65;-1.0;-1.0;-1.0;-1.0;-1.0;
World of Warcraft;0.0;0.05;0.0;0.0;0.0;1.0;0.0;0.35;1.0;0.75;1.0;0.0;0.0;1.0;0.0;1.0;0.05;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;
Final Fantasy;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.1;1.0;0.0;0.0;0.1;0.0;1.0;0.75;0.0;0.65;0.0;0.0;0.0;0.1;0.0;0.0;0.05;1.0;0.0;0.35;-1.0;-1.0;-1.0;-1.0;-1.0;
Diablo;0.0;0.0;0.05;0.0;0.0;1.0;0.0;1.0;1.0;0.05;1.0;0.05;0.0;0.7;0.0;1.0;0.7;0.05;0.0;0.0;0.05;0.0;1.0;0.0;0.05;1.0;1.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;
Mario Party;-1.0;1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;0.05;0.4;-1.0;-1.0;-1.0;1.0;-1.0;0.05;0.4;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;0.0;0.05;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;
Overwatch;-1.0;0.05;1.0;-1.0;-1.0;0.0;-1.0;0.0;1.0;1.0;-1.0;0.0;-1.0;1.0;-1.0;0.7;0.05;0.0;-1.0;-1.0;1.0;-1.0;0.0;-1.0;0.0;1.0;0.05;-1.0;0.59999996;-1.0;1.0;-1.0;-1.0;-1.0;
Roller Coaster Tycoon;0.0;0.05;0.0;0.0;1.0;0.0;0.65;1.0;0.05;0.05;0.65;1.0;0.0;0.0;0.0;0.05;0.05;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.05;0.05;0.05;-1.0;-1.0;-1.0;
Metroid;0.65;1.0;0.65;0.0;0.35;0.65;0.0;1.0;0.7;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.05;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.59999996;1.0;1.0;0.05;0.0;1.0;-1.0;-1.0;
Sonic;-1.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;0.0;-1.0;0.0;-1.0;0.0;-1.0;0.65;1.0;-1.0;-1.0;-1.0;0.65;-1.0;0.0;-1.0;-1.0;0.0;0.65;-1.0;1.0;0.0;0.0;-1.0;-1.0;-1.0;
Dragon Age;0.0;0.65;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.65;0.0;1.0;0.65;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.65;1.0;-1.0;
Hearthstone;0.65;0.0;0.0;-1.0;0.0;0.0;-1.0;0.0;0.65;1.0;-1.0;0.0;-1.0;1.0;-1.0;0.0;0.0;0.0;-1.0;-1.0;0.0;-1.0;1.0;-1.0;-1.0;1.0;0.65;0.0;1.0;0.0;0.0;-1.0;-1.0;1.0;
Kirby;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.7;0.05;-1.0;-1.0;-1.0;0.05;-1.0;0.05;-2.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;-1.0;0.0;0.05;-1.0;1.0;0.35;-1.0;-1.0;-1.0;-1.0;
Super Smash;-1.0;1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;
Professor Layton;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.65;0.0;0.0;0.0;0.0;0.0;0.35;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
